评论者,评论
Nightmares,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
成风の魄浪,青花瓷
Enchanted   ⃒⃘⃤,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
[Steady],记得在我小的时候，家里的DVD，CD盘上面就有这首歌，也有十年了，哎，越听越殇
　󠀀󠀀󠀀󠀀,刚听到高潮，结果他非要会员[em]e400104[/em]
小唯,最喜欢的一首
倾世乐章,个人认为完美的一首歌
Hyo míng,08年还在用mp3听这首歌
妖狐冕下,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
鱼虾一整碗,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
点绛唇,每次听这首歌  都有一种绵长悠扬的感觉 很舒服很平静
battle myth,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
清风,学会了这首歌，本来想唱给你听的，可惜你早已离我而去
okyours,长大了才听懂曲里的故事。
名字什么都是浮云,就当我为遇见你伏笔
华语第一人周杰伦,天青色等烟雨 而我在等你
不老岁月,坑死我了，还要付费。
小白,"初听不知曲中意，再听已是VIP
曲终人散梦已醒，必歌已是收费曲
我发现只要是周董的歌，不是没版权就是VIP,唉，穷，太难了"
蓝天碧水,据哦地铁反反复复超级蜂巢剧场将房产纠纷西滑封村肌肤刺激复习就复习就出现纠纷超级超级超级复习就发现肌肤长卷发粗发
802.,周杰伦的这首《青花瓷》太好听了，每次当心情烦躁的时候听一听这首歌心情就莫名好了许多
世界上最强星球战队,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
🌘,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
。。。,不得不说这首歌的歌词真的好
肖小叶🌿,“天青色等烟雨，而我在等你”[em]e401137[/em]
见风,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Janeite,紅 土 [em]e400133[/em] 《中美》
゜OrαNgё.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
夏宏,恐怕听亡
起起落落,方文山的文采
垂涎自由,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
 猫奴,心中周杰伦歌里的top1
未来可期,心情不好的时候，听一听，洗涤心灵
星星碎了.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Swoboda,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
8.27 9.26,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
T·E·O王阔【室内设计】🦖,我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
❀嗷嗷的,我年少已登顶，往后余生定会坦荡天地皆知～
J*^_^*J,尼玛这歌词太牛逼了
灵叔的风,而我路过江南小镇买了vip
Kraye,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
momo,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
高峰,而我路过江南小镇买了vip
JHQ,"小雨湿未透，频繁忆残烛后，
错因旧梦醉新酒。
天青瓷上釉，清签细笔写红豆，
还描成同心蔻。"
·,青花瓷，勾勒着流苏，白片清韵。千年淡雅，翠袖白绫，夹杂着清寒的声韵。流光篆青，扫尽了尘埃。在江南的烟雨下，惊鸿一瞥的迹遇，低眉淡然。青花瓷旁，见你如初。
Mua~梦梦,我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
草莓味的夏天,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
袁秀梅,只是要会员
袁秀梅,很好听的
昨天是历史Jay,05粉丝报告[em]e401115[/em][em]e401115[/em][em]e400408[/em]比那个鸡你太美好听太多
园游会约好一起逛🙌,一直都觉得这词真的是美死了
敢敢,要钱了，听不完整
Jeremy,"周总唱的
你隐藏在黑窑晓里，千年的秘密。。。
歌词是
你影藏在窑烧里千年的秘密。。"
H&J,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
浅º,还是一如既往的好听
　　　k,天青色等烟雨，而我在等你
爱笑的孩子运气不会差,"小雨湿未透，频繁忆残烛后，
错因旧梦醉新酒。
天青瓷上釉，清签细笔写红豆，
还描成同心蔻。"
百事,年少的时光啊回不去了[em]e400867[/em]
Glossov7r江,特意为你而来
JiuC,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
风花入眼藏,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
风花入眼藏,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
JiuC,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
星星往上蹦,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心
翩翩少年郎,林外芭蕉惹骤雨，梦幻的童女[em]e400824[/em]如传世的青花瓷，在独自美丽[em]e400824[/em]我承认当年我买了盗版。
⭐️,当今台湾年轻人可懂中华文化博大精深
HuiL,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
k,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
H  ᶘ ᵒᴥᵒᶅ,刚听了惊雷，吓得我赶紧来洗洗耳朵
着迷,当年还用屏幕超级小的初代mp4，下的第一首歌就是周董的《青花瓷》。
风花入眼藏,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
风花入眼藏,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
Loser,“天青色等烟雨，而我在等你.”
Healer.,上初一时班主任的手机铃声 还把歌词写在黑板上 有一节课专门在讲这首歌
mo韔緗♂,喜欢你的，才会喜欢你的一切。
可爱到膨胀,"小雨湿未透，频繁忆残烛后，
错因旧梦醉新酒。
天青瓷上釉，清签细笔写红豆，
还描成同心蔻。"
RY    邡雯珊,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Dreamy Sera,素胚勾勒，门环惹铜绿，天青色等烟雨，而我在等你，等你笑颜相随。月色被打捞起，晕开了结局。炊烟袅袅升起，隔江千万里...
篱忆风,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
十一,华语乐坛怎么了，新出的歌都还没有老歌好听，唉
清风怡江,我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
不进段百，不改名,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
꧁夙風飒飒꧂,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
述困.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
fufufu什么燃,JJ的歌真的是从小听到大的了 最初了解到JJ是在阿衰这本漫画上 好奇去搜了一下 我的天他的歌唱风格我真的是爱了爱了 但是我不明白为什么她都已经成家了我还未成年[em]e400873[/em]
待到春暖花开时,还记得第一次在春晚上听到，确实被惊艳到了
洪荒少女~,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Big Boss,这首歌方文山周杰伦钟兴民都才华横溢
Big Boss,帘外芭蕉惹骤雨 门环惹铜绿 而我路过那江南小镇惹了你， 有谁觉得这两句极美
嚯嚯嚯吼吼吼,帘外芭蕉惹骤雨 门环惹铜绿 而我路过那江南小镇惹了你， 有谁觉得这两句极美
【青匠暖通】王国杰,是吗……不想养的孩子的宝宝会在宝宝面前说一道上不动你一下……这里也很美腻美美容美发美容专家介绍到现在才会
z,“早知道这首歌这么火，就应该单独出一张EP”
思豆￠,当年还用屏幕超级小的初代mp4，下的第一首歌就是周董的《青花瓷》。
_(:_」∠)_,哈哈哈[em]e400851[/em][em]e400905[/em]！以前去[em]e400213[/em]时总会点这首歌，大学舍友说她可能以后一听到这首歌就会想到我[em]e400905[/em]！也许这就是本命歌吧！许多年还是会喜欢(/ω＼)
温柔体贴的猫ジ,在默默的守着你，等着你回来
窃丶爱,而我路过那江南小镇惹了你
404 NOT FOUND,“天青色等烟雨，而我在等你.”
-,没有期待就不被伤害！天青色等烟雨，而我不再等你
NEVA EVA,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
I want it that Way,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
冰可乐,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
.,歌词美如画
扛起枪来就是兵,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
.,周杰伦的音乐就算收费都值得听！！！
几分好奇🔱、,听不腻的杰伦中国风![em]e400832[/em]
贰零0九零七,而我路过那江南小镇惹了你，好一个“惹”字
懒的可爱,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Liu挽秋,"烟雨之于天青色，是不可缺少的元素；没有烟雨天，就没有绝世珍品的天青色青花瓷；等来了烟雨天，青花瓷也就等来了它的生命它的灵魂。如果我是青花瓷，你就是我的烟雨天，等来了你，我的生命从此开始有意义。
天青色对烟雨的等待，是对完整生命的渴望和肯定
而我等你，亦如天青色等烟雨。"
51佳恩,好听
系1条红绳，盼...,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
三年二班的罗密欧,小时候在文具店买的笔记本，笔，文具盒等等包装很多都是江南水墨以及那句天青色等烟雨而我在等你，比课本上的古诗背的还好呢，真以为这是一首古诗，长大了才知道是周杰伦的青花瓷，方文山作的词，方文山放在古代也至少是李商隐吧
人间百难消.,偶然一次又听到青花瓷，我竟然听哭了
JiuC,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
超人不能流眼泪。,周杰伦的歌的特点就是吐字不清，这是一种境界，虽然听着比较累， 周杰伦的吐字不清晰，在这首歌里完全不是问题。吐字太清反而有问题。意境缥缈，什么都不要太清楚得才好。缓缓流淌的溪水，似青花瓷般素雅，娴静，铜铃般的清脆嗓音，回荡在我的耳际。泼墨山水画，你美得如画中的人儿，缕缕幽香，似梦幻般，我触不到，我摸不着，却能感到烟雨朦胧的深秋，你那澄澈明净的眸子中牡丹的妖艳，菡萏的清鲜，幽兰的雅致，野菊的傲骨。《青花瓷》是我最喜欢的中国风歌曲。[em]e400116[/em]
抹茶拿铁,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
July,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
相望 🍀,"那年
你我同窗
那年
你我同唱一首歌
青花瓷."
焕然,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
偽君孖,想当年mp3每天单曲循环之首歌10年没听了歌词还是记得清清楚楚[em]e400824[/em]
Mr.G,此曲只应天上有。
地主家的傻儿子🇨🇳,青花瓷是好瓷
米开朗稽罗,美！
returns 0 initiate,(⊙o⊙)哇
阴天,周杰伦的歌，听在我心里，但我却付不起（因为每一曲都要付费）
甜心水草,好烦啊，周杰伦的歌，怎么每一首都那么好听我都喜欢不过来了[em]e400828[/em][em]e400906[/em]
HCYL,该评论已经被删除
泡椒,只有等到烟雨天气，才能锻造出最上等的天青色的青花瓷。天青色等烟雨，就像我在等你一样
DD,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
DD,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
🐶崽崽,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
该去学习了,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
小手冰凉,评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00
Life、,"小雨湿未透，频繁忆残烛后，
错因旧梦醉新酒。
天青瓷上釉，清签细笔写红豆，
还描成同心蔻。"
离岸.,咋都是Vip啊，没一首能听的
落娘,天青色等烟雨，而我在等你，烟雨朦胧，凉亭之下惊鸿一瞥，望进一双深邃眼眸，匆匆一别，从此隔江千万里，，，，，，
A. 罗半仙,"青花瓷，勾勒着流苏，白片清韵。千年淡雅，翠袖白绫，夹杂着清寒的声韵。流光篆青，扫尽了尘埃。在江南的烟雨下，惊鸿一瞥的迹遇，低眉淡然。青花瓷旁，见你如初。

7条回复

传"
Rabi,我不会说什么好听的话，我就觉得买这首歌，十块钱也值了
美绪不脏,23992
期年,从小就听周董的歌，我爸是他的歌迷，六七岁的时候家里天天放青花瓷，还有其他周董的歌，可以说承载了我的童年了，我爸妈结婚的时候，放的歌是东风破，学过一段时间的舞蹈，跳过菊花台，老爸年轻时候收藏了很多周董的CD，特喜欢音乐，我也是受他影响，很喜欢周董的歌。
杉蔚,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
你也网上冲浪啊,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
锦先生,青花瓷，勾勒着流苏，白片清韵。千年淡雅，翠袖白绫，夹杂着清寒的声韵。流光篆青，扫尽了尘埃。在江南的烟雨下，惊鸿一瞥的迹遇，低眉淡然。青花瓷旁，见你如初。
🍁Sq101,可能有点不相信这首歌是我的初恋。那是我小学的时候喜欢过的一女生，是一个双鱼座的女生。当时的年纪，经历过的人应该都知道，是女生追着男生打的年纪。她从来不打男生，从来不争不抢，也从来不会骂脏话。她的成绩不是那么好，也就中上游，她不是什么班委，但老师布置大家都要做的公益（毕业留念墙，班级的各种杂事）的事情，很多人懒得做，她是最认真的一个。当有一个都有人都讨厌的很娘的男生被欺负时，她会递一张纸给他。当冬天大家都在学校玩雪的时候，她拿着一杯温水，给大家倒着喝。她妈妈的厨艺很好，经常做一些什么糯米球，果冻，冰稀饭，她会带来学校，每人打一碗。有一次六一儿童节，她会吹陶笛，吹的就是“青花瓷”。她才是“青花瓷”
🍁Sq101,可能有点不相信这首歌是我的初恋。那是我小学的时候喜欢过的一女生，是一个双鱼座的女生。当时的年纪，经历过的人应该都知道，是女生追着男生打的年纪。她从来不打男生，从来不争不抢，也从来不会骂脏话。她的成绩不是那么好，也就中上游，她不是什么班委，但老师布置大家都要做的公益（毕业留念墙，班级的各种杂事）的事情，很多人懒得做，她是最认真的一个。当有一个都有人都讨厌的很娘的男生被欺负时，她会递一张纸给他。当冬天大家都在学校玩雪的时候，她拿着一杯温水，给大家倒着喝。她妈妈的厨艺很好，经常做一些什么糯米球，果冻，冰稀饭，她会带来学校，每人打一碗。有一次六一儿童节，她会吹陶笛，吹的就是“青花瓷”。她才是“青花瓷”
破晓,该评论已经被删除
一碗螺蛳粉,“天青色等烟雨，而我在等你.”
凉思嗣&,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
中国女孩🇨🇳,你心底的人，是谁？
X—Man.live,有的人把10后当00后了。全民k歌白皮书显示，周杰伦在80 90 00排第一。70排第9。全民k歌应该没有数据造假，样本也大。周杰伦在00后怎么也算一线了。
初€㏒∂ΣΨ,这周杰伦是何方神圣 什么风格都会唱 还特么都唱得好
。,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
囚心,梦回十年前，感觉自己还是那个孩子，楼外还在下着细雨，我坐在卧室窗边电脑桌前听着青花瓷，侧头隔着阳台往外望，天有点阴沉，凉风习习，爸爸和哥哥在后面笑着，妈妈在那里看着情深深雨蒙蒙，不用去思考明天会怎样，不用去思考未来是怎么样的
ア,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
