,打分,标题,内容
0,5,请大家注意,我真的搞不懂了，无聊翻翻五星评论时发现五星的都是在骂打一星的。打一星的哪个不是一边骂骂咧咧一边认真听直播记笔记，一星也不是真的不懂事理啊，打五星了不起吗？一星的不过都是开玩笑罢了。再说钉钉确实不是考虑的很周到，卡的要死。上个课来来回回退出又进，但还是很卡，声音有时也会卡住。只能用手机看，用iPad或者电脑就卡到不行。打五星也不过是支持一下钉钉而已。毕竟打一星又要被喷了。
1,5,可以,别问 问就是5星
2,1,真好,学生党们一起来个一星好评吧
3,1,这款软件问题很多,激化家庭矛盾
4,5,加油💪,这个软件很好，看比QQ这个软件可以上网课，所以在一起的时候就用这个来上课，所以这个很好。
5,1,，,特别好用，声音也特别响亮，总是在我每次进入昏睡无法起来继续学习时 叫醒我，必须给予五星好评👍👍
6,1,方便大家了大家，麻烦了你我他,嘻嘻
7,1,拿好,真的，我是看你们求饶视频来的。太可爱了，一星拿好！
8,5,还不错,其实网课是在别的地方上的，虽然也有钉钉答疑吧.....但，想上就上，想不上就不上，网课也是，不上老师也不知道啊😎
9,5,道法自然,佛本是道
10,5,支持一下钉钉,钉钉这个软件也不容易，这个软件设计的很好，很适合办公学习。在停课期间，能让许多想要好好学习的人满足心愿，希望大家不要因为老师用这个软件上课就差评，我们上完课了，那这个软件怎么办？还有希望钉钉能保持这样适合办公学习的的模式，不要变的像一些软件本来是交流的平台却变得乱糟糟的，谢谢，再支持一下钉钉和钉钉的工作人员，加油！
11,5,阿里巴巴捐了10个亿，而你只会乱打分,钉钉作为一款办公软件，企业上下班打卡也很智能，生日祝福也经常有收到，不管出于哪方面都觉得钉钉很好用，更何况钉钉是因为各方面都优秀才被广泛应用，不知道大家出于什么心理故意拉低评分，希望不要再诋毁钉钉了，学计算机出身的自己深有感触开发一款软件需要多久，维持一个软件正常使用需要多久，阿里巴巴在疫情当前捐了10个亿，就冲这个我们也不要再去诋毁钉钉诋毁阿里巴巴了
12,1,沙壁,沙壁
13,1,爱死你了😘！！这么哒！！！！！,爱死你了😘！！这么哒！！！！！
14,5,少侠们五星好评,作为一名老师，虽然不想洗头但是软件没有错
15,1,原因就不多说了，懂自懂,懂的懂
16,5,强大的统计功能,不可否认，是个好的办公软件，而对于学习，也是很好的统计app
17,1,离职后，所有原来的东西都没了,打卡记录、群聊。全清了。不让人继续用没问题，但是以前的使用记录很有用。如果有纠纷，什么都没留下。
18,1,钉钉，孩子们的天堂,钉钉，我TM谢谢你
19,5,钉钉加油,钉钉加油，这并不是你的错，只能说你设计的太优秀，五星给你，不分期的
20,1,不是我h你，钉钉,钉钉，你有些设计毫无隐私，超级奇葩。把我们本来很好的公司氛围弄得非常尬！周六早上还得打卡！什么傻缺软件，我谢谢你！
21,1,🦇钉钉,上课了臭弟弟
22,1,太好了,你真的太好了，让我忍不住点了一星
23,5,五星自来水,太可怜了钉
24,5,小钉加油！,也太不容易了，给小钉打个满分吧！
25,5,钉虹,诺 我给你下个钉钉。让你从年头学到年尾   你是学渣中的扛把子嘛
26,1,。,感谢丁丁治好了我的失眠
27,5,其实挺好用的。。。,别喷了
28,5,好,好
29,1,good appreciation,"这app太好用了！！！
五星分期付款！！🌝🌝🌝"
30,1,服,被迫下载
31,5,1,111
32,1,滚,期待的一星来了
33,1,喜欢钉钉的可以全靠自觉,没了钉钉你们的竞争更小，何必难为别人
34,1,你钉起来真好听，像放午夜凶灵。,五星好评分期付款。
35,5,我爱钉钉,作为一个学生 我简直爱死钉钉了 五星五星
36,5,不知道为啥，网也挺好，就是老卡顿,挺好的，就是老卡
37,1,赞,确实很好用，我就想知道0.5分怎么打？
38,5,真好,真好
39,1,垃圾,垃圾快下架
40,5,来了老弟,支援已就位
41,1,学生党的评论,钉钉app在我们延期开学的时候，让我们和老师见面。我们觉得非常好。╭( ′• o •′ )╭☞警察薯薯！就是这个app！
42,1,找水军了？,分期五星的第一天
43,1,好棒啊这个软件,必须五星好评 分期付评 一天一星 不用谢
44,1,我真是爱死了钉钉！,我太爱学习了！！
45,1,呵呵哒,钉钉太好用了🙃
46,1,垃圾软件，恶心,垃圾软件，恶心
47,5,满分,rt
48,1,垃圾,垃圾软件！本人上班族，疫情之下并没有放假，天天起早贪黑。这也正常。突然惊天噩耗，在繁重的工作之余，开始了学习培训之路，从此再也不分昼夜，上夜班，回来还要学习培训。睡觉时间都不够。你被国家选中是你的命，可是谁又来给我一条生路！我认命！希望你也是！早日倒闭！再也不见！
49,5,学生党，辛某,谢谢
50,1,我真是爱死了钉钉！,我太爱学习了！！
51,1,呵呵哒,钉钉太好用了🙃
52,1,垃圾软件，恶心,垃圾软件，恶心
53,5,满分,rt
54,1,垃圾,垃圾软件！本人上班族，疫情之下并没有放假，天天起早贪黑。这也正常。突然惊天噩耗，在繁重的工作之余，开始了学习培训之路，从此再也不分昼夜，上夜班，回来还要学习培训。睡觉时间都不够。你被国家选中是你的命，可是谁又来给我一条生路！我认命！希望你也是！早日倒闭！再也不见！
55,5,学生党，辛某,谢谢
56,1,钉钉真好用,怎么感觉评分较前几天上来了点呢，害得我赶紧过来给个六星好评
57,5,死忠粉来评价啦,听说学生们都五星分期，那是因为他们都不成熟，一个成熟的钉钉不要跟他们计较。/手动摸头
58,1,真是个好软件,软件界面非常友好，一点也不觉得难懂。
59,5,心疼孩子😹😹😹,在B站看见官方视频，太心疼了😹，而且软件开发的不错👍，五星鼓励一下。
60,1,看了你们的视屏,"我决定还是给个一星
没有为啥"
61,5,让小学生不能得逞,好好学习天天向上
62,5,还是可以的,就是卡卡卡卡卡卡卡卡卡卡卡卡卡卡
63,1,太tm棒了,每日打卡逃不掉真的tm棒
64,1,．,唉！今天味口不好。差评
65,5,致钉钉,本人也是一个学生党，说实话，我讨厌死这个软件了。我给五星是因为我特别鄙视那群给一星的人，因为这次疫情的爆发，学校推迟上课，也是不得不才使用这个软件。我们班上的群都在喷钉钉，可我今天打开这个软件的评分时，我才发现，有那么多人支持钉钉！别人做个办公软件也不容易，某些人却因为个人或是同伴的煽风点火而喷钉钉。再说，我认为钉钉是个非常不错的办公软件，我妹妹两年都是用这个软件打卡。在此，我只希望学生党们不要再喷了，这样做是非常不尊重别人的心血的！五星好评！
66,1,感谢你了！你知道我宠你嘛？！,谢谢你了我可真的 我寒假作业都没写完 天天又有新的作业啦 早早起床打卡 爱你么么哒呢
67,5,加油奥利给,克服恐怖的最好办法就是面对恐惧
68,3,钉钉,上完一结课要休息会儿在上下一节课，否则会很累。
69,1,快乐一天,快乐的一天从七点半的签到打卡结束
70,1,我爱钉钉～,"不读书的学渣 自己不读书还怨这怨那的 
喜欢钉钉这个软件 支持！
5星不足以表达我的喜爱 给6星！
这个是多出来的 丁丁加油！！！"
71,5,！,钉钉挺好的 好就好在我们学校不用
72,1,😒,实在不喜欢
73,1,毁我假期,请把这个视频会议取消，谢谢🙏，在家呆着还要视频搞体能，我心态崩了
74,1,丁丁真是个好软件,丁丁这个软件真不错哈哈哈哈哈哈哈
75,1,喜欢钉钉,太喜欢钉钉了所以我决定给一个一星好评
76,5,无,太可怜了，给个五星
77,1,新年快乐,新年快乐
78,1,我非常非常喜欢的应用！,这款软件也太好用了吧！用它！真的特别特别照顾我们学生党！根本都没有人强迫我们下！太好用了！我太感谢了！！！
79,5,声援,如果仅仅是为了不想上课而给一星，那只能说明这学生成绩……如果是炒作，也请不要借疫情之名炒作。
80,1,太赞了,感谢钉钉
81,5,钉钉棒,钉钉加油
82,5,这软件太好用了,真好用真棒，看着你们一星⭐每天过着充实的一天，倍感欢喜！
83,5,Apple store第一次评分5星,"从来不会给软件评分
唯独提交一次钉钉
五星不分期，好评一次清"
84,1,狗东西,"拉几
fouk
垃圾来几"
85,5,叮叮牛逼,牛逼
86,1,钉钉钉,dingdingdingdingdingdingdingdingdingding
87,1,垃圾钉钉,垃圾钉钉
88,1,我最爱的软件（日记）,我们不用去学校也能学习，每天早上起床坐在电脑桌前，认认真真的学习。奥利给兄弟们，干了。学习届里我老八，今天上个联网课，美滋滋，数学，语文，英语。必须的老铁。
89,5,很好,很好
90,1,感谢钉钉,"谢谢钉钉让我在本不富裕的寒假雪上加霜,谢谢您让我重拾了上学的快乐"
91,5,单位一直用钉钉，感觉很方便软件也很稳定,单位一直用钉钉，感觉很方便软件用起来也很稳定，因为特殊时期不便出门，钉钉支持了网络授课，结果被学生们撒气刷一星，真是哭笑不得啊，
92,5,很不错,挺好
93,1,666,"不仅学子们感谢钉钉，我们也感谢，太及时了；
都说当你感到悲哀和痛苦时,最好是去学些什么东西，学习会是你永远立于不败之地,唯有钉钉，让我们充实！"
94,1,看大家都给你打一颗星,"我也来参与一下，哈哈哈哈
每天半夜九十点，我正在王者荣耀的时候，这个软件的声音一听就火大！！！"
95,1,钉钉把你钉在墙上盯着你,保护祖国花朵人人有责
96,1,很好,很好用
97,1,超强监控器,以前是QQ和微信，现在是钉钉。一天都打卡，真的是打卡神器
98,5,！！,给孩子打五星8 ！
99,5,视频赞,作为一名初三学生对软件很满意，治疗了拖延症晚期患者。本来对软件评价没那么重视但看了视频以后真的忍不住来五星了，支持可爱的你们
100,5,钉钉特别高效,感谢钉钉团队 感谢钉钉。工作高效而且又有了健康打卡新功能。等小朋友们长大了就知道工作不容易 哈哈 钉钉已经很担当啦
101,1,流氓软件,流氓软件，没有之一
102,4,正常来讲是想给3星的,隐私权限问题是很严重的，后台随意调动摄像头，我知道这对于管理者来讲或许是个很棒的功能，但是对于更多实用的用户呢？群设置也是如此，在这个软件中，你如果只是一个普通用户，你基本上没有支配这个软件的一切能力，被随意拉入的群组（不会给提示，直接被拉进群）；被肆无忌惮的钉的满天飞，手机还算仁慈，电脑直接炸了。卧槽，劳资编不出来了，求求你给使用者一些基本的隐私和权利吧，MMP，不是谁都和你们老板一样喜欢996 10107的。
103,1,略略略,一星收下，不用谢
104,1,破软件我真谢谢您，要不是您我也不能感受到啥叫死亡我谢谢你，沙壁破软件,垃圾
105,5,五星一次付清,功能完善，用户体良好！
106,1,钉钉,我们不共戴天
107,1,禁止上课,你不配存在 请禁止上课
108,1,听课不停歇,不是我说，钉钉太卡了，不是五星分期付，是你太卡了，建议调整，因为太卡了
109,5,歌好听,五星一次性付清了
110,1,今天太困了，差评,太困了，差评
111,5,好东西,特别好的软件
112,1,差评,差评
113,1,感谢钉钉,感谢钉钉使我我假期变得充实能让我看到我亲爱的老师 感谢开发者 祝开发者全家身体健康
114,1,垃圾软件,什么破玩强行要人打卡，不打还要扣钱。我倒班上了大夜班，白天能让人睡觉不。我TM还要等着打卡
115,5,好评钉钉,我觉得挺流畅的。很方便
116,1,我爱钉钉！,这个软件让我在寒假期间也能快乐的学习，很感谢能让我在疫情期间能够见到我日思夜想的老师和亲爱的同学，也改掉了我睡懒觉的坏习惯，真的非常感谢钉钉，给我的生活带来诺大的帮助！！！
117,1,网课,这个软件成功改变了我的生物钟
118,1,你不开心,今天被老板骂了。用钉钉骂的
119,1,钉钉有很多地方欠缺,我觉得强制摄像头这一点很不人性 请一定改过来谢谢
120,1,钉钉绝对是二十一世纪四大发明之首！,钉钉这个软件真是棒极了！有了它，我上课更加自觉了！妈妈再也不用担心我上课偷偷玩游戏了！五星好评，分期付款！
121,5,加油,其实出现这种情况我们应该反思一下到底哪里出了问题，而不是去怪一个软件
122,5,啦啦啦点啦,棒棒哒棒棒哒
123,1,零星,垃圾软件 祝钉钉早日倒闭🖕🖕🖕🖕🖕🖕🖕
124,1,差评,垃圾软件
125,5,辛苦,工作人员辛苦了
126,1,用的好,铃声好听 给一个巨大的差评！
127,5,批改作业,今天更新了批改作业的方式，但是我觉得并没有带来方便，最主要的原因是写评论或者发语音批改的时候老师不能看学生的作业，当学生错误较多的时候改起来更麻烦了。希望有待改善，如果能够直接红色笔批改就更好了！软件很好，加油！
128,1,很好的一款软件,五期免息
129,1,好,钉钉真好用！！！！！！
130,1,钉钉别让我们失去那个快乐寒假,我们学生党全体打一星把钉钉打下去，钉钉别让我们失去那个快乐寒假
131,1,加油,"加油加油加油加油加油加油加油，早点上五星好评

加油

加油

加油

加油"
132,1,好用,钉钉真是一个好用而且能让学生们努力学习的软件，就是这些功能，让我直接给了一星好评！
133,1,一星好评！,钉钉竟然可以网上考试！！！一星支持！！！！！
134,1,我这,我去了的钉钉害得我三天没吃一顿饭
135,5,委屈你了,我真的觉得这是难为别人，程序员搞到脱发研究出来的成果被这样攻击，挺难受的。希望大家不要再难为钉钉了，特殊时刻都不容易，放一个月的假一点课都不上也未必是好事，希望大家理智评价。尊重每个人的劳动成果。
136,1,？,？
137,4,钉钉,"我爱死钉钉了快！
谢谢你钉钉让我体会到了生命的乐趣😭"
138,5,哦豁～,你移民民工有🈶🈶有时间多的话题材。你是指哪方面工作群的时候去吧唧吧唧吧唧吧唧吧唧吧唧一口一个星期天的时候发货啊姐你是我就知道的时候就好好👌🏻👌🏻👌🏻👌🏻👌🏻您看这样哦了我磨
139,1,太好用了！,感谢钉钉这个软件，实在是太方便了！每天准时提醒，上午下午网课无缝连接，寒假作业超级加倍。爱了爱了❤️❤️❤️
140,1,不好用,老是卡
141,1,我太爱钉钉了,我建议全部到钉钉去学习上课卡死马赛克级别的画质显得格外de楚楚动人而且还有沙化音质，一天下来什么也没听到只有看不完的直播。5星好评分期付
142,1,拒绝上网课,"我不想洗头不想上网课！
（啥时候不上网课了，啥时候给五星～哈哈"
143,1,真好,u1s1，我太爱钉钉这个软件了，我真的是自愿下载的，跟学校一点关系都没有
144,5,钉钉,钉钉很好用，尤其是办公更方便
145,5,一星小学鸡,"长个脑子
不多说"
146,5,。,非常感谢钉钉，说真的，给毕业生留条活路吧
147,5,真的可怜,心疼你这个被选中的孩子（来自好心同学的怜悯🙂）
148,1,太好了,真令我震惊
149,1,盒子啦啦啦,我只是为了来打个一分，感觉软件很萌。
150,1,无题,"钉钉钉钉，我说给你听：
钉钉害死我，叫我怎么活。
八点叫醒我，作业如山多。"
151,5,赞,不错的，这个时候就提现出网络的强大了
152,1,您是个好软件，我谢谢您,真的，想给零星
153,5,方便快捷,用钉钉办公方便快捷
154,1,建议,希望钉钉可以设置一个两小时防未成年人沉迷的健康系统
155,1,I love you,感谢钉钉让我在寒假里还能见到敬爱的老师👨‍🏫😃👍
156,1,五星不分期,看完你的求饶视频后也玩腻了，不闹了。
157,5,钉钉,很好用。大家多多支持
158,5,这是一个很好的软件,钉钉使我们拥有一个更方便快捷的平台，让老师与同学们和家长们可以拥有更深入人心的了解，加油，钉钉可以做到更好
159,5,哈哈哈,哈哈哈哈哈钉钉也是相当惨了
160,1,真好用,五星好评，分期付款，不必多说
161,5,好软件,妙！妙！妙！
162,1,不知名作家刘信达,非常好用哟，钉钉是个好软件，欢迎大家下载，给你一星好评呦！
163,2,钉钉很好但我就是喜欢不起来,emmm……
164,5,其实挺好用的，不知道为什么有那么多一颗星,挺好用的方便，没有其他评论的那么不好用，支持
165,1,这款软件真的很让我失望,本着便捷的初心下载了这个软件，没想到里面种种让我带着失望要把它卸载，但我却不能，它是我整个学校的平台。有时候它会突然垮掉突然让我的手机瓦特，里面的很多项目都需要收钱，我很希望在家里也可以高效的学习，而这款软件却让我这个心愿不能实现，我玩没玩好，学也没学好。我的四级恐怕也因为它过不了，更别说它很大程度上影响了我的心情，让我对生活丧失了信心，因为它，我不再相信这个世界会美好，我更不相信我的四六级可以毫无问题的过。本来我是一名优秀的学生，而现在，它严重的打击了我对学习的渴望与热情，希望这款软件可以更好的完善自己，而不是压榨我们穷苦的学生和可怜的老师。希望世界因你和平。
166,5,钉钉加油！武汉加油！中国加油！,看到一半的人刷一星是真的很痛心，钉钉是个好软件，多少职工用它。一些学生评价一星，我只想问你凭什么给它凭一星？因为它害的你上课了？钉钉本就不是为了你们这些学生开发的，你有啥资格抹黑它？我也是一名学生，我很庆幸有钉钉和腾讯课堂这些直播软件帮助我正常开课，作为大学生的我都感到幸运了，对于那些高三学生来说，更是一剂良药。或许对于一些抹黑的学生来说这只是半分钟的事情，但我想说，等你长大了，等你心智健全了，你就明白学习到底有多重要，你也会明白你现在的行为有多可笑。别说学习没用，“小学生们”你们要知道，中考高考的确会改变人的命运！学习，是你现在唯一能够改变命运的途径。诶，就因为个上网络课，真丢脸。
167,5,解救钉钉来了，这辈子第一条app评价,哈哈哈哈
168,1,垃圾,今天吃饭没吃饱，差评
169,1,给你好评,这个软件太好用了，十分方便。
170,1,不想随便评低分！,"我是一名初一生，这个软件内容丰富完善，不能把上网课的不舒服都发泄到这个无辜的软件！！！上网课是无奈之举！希望各位同学们都理性评分！

武汉加油💪中国加油💪！！！"
171,1,论钉钉到底该打几星,"要不是必须打星我一定一个星也不给你 。
讲道理这软件是真的好（真心话）
可惜的是
我的人品不好（真心话）"
172,1,很多人不敢说,我爱钉钉
173,1,111,1111
174,1,搞笑,说实话我一星都不想给，你们这是纵容那些老师们，协助犯罪
175,1,钉钉害人精苦大仇深真想永久卸载,讨厌的钉钉，害人不浅啊，原来害人工作考勤用钉钉，现在连孩子作业都要每天打卡了，我想全国家长都会讨厌你，恨死，哪天不用打卡了，第一时间永久卸载。
176,5,还好,还好吧
177,5,很好用,五星好评，分期给到，先给一星，怕你骄傲。
178,5,“停课不停学”,棒
179,1,一星永恒。钉钉的评分是自己刷的吧！,很好👍
180,1,好用就完了,好用，给六颗，溢出来了👍👍👍
181,5,好,挺好用的功能很多
182,1,不喜欢钉钉👎,钉钉是无聊中的大王
183,1,我认为钉钉可以用一个机器人来代自己上课，那就可以边玩游戏边学习！我要上热门。,我认为钉钉可以用一个机器人来代自己上课，那就可以边玩游戏边学习！我要上热门。
184,1,懂得都懂,嘻嘻嘻嘻嘻嘻嘻
185,1,感觉主播素质有待提高,钉钉这里面主播感觉不行啊，叫他跳个舞不跳，还问我是哪个班的.
186,1,钉钉真是个好软件,笑脸墙真是个十分趣味功能呀，真棒！！！非常棒！！！
187,1,真好,真好
188,1,呵呵,闪退，不能较好的分屏，有时候还没声音还很卡，还是其他的办公App好用实在，一星撑死了。有时候一不小心退出去，再进来就错过了一些直播内容。那些后来的五星都是刷出来的吧，水军用了吧，真不行啊！
189,1,我对钉钉的想法,我TM真谢谢您嘞！
190,1,钉钉真好😡😡,这个软件实在是太好了，让我在家里都能感受到老师的容颜。钉钉好，钉钉妙，钉钉实在是太棒了。🤬🤬🤬
191,5,挺靠谱的,很好啦
192,1,好软件,好团队，浙江小学生前来助一星之力
193,5,视频很好看,我看了钉钉的最新视频很很喜欢，希望能多出一些视频在新浪微博上
194,5,班会,及时、简洁、明确、负责，赞。
195,5,把分拉上去,给个五星不分期
196,1,。,。
197,1,垃圾,老子寒假都沒了
198,1,👨🏻‍🦳,鬼畜三连，这边分期
199,1,很好,功能很强大，非常好
200,5,钉钉不错,不错的软件，办公考勤高效率，收发文件和消息，包括在线直播都很好，很赞哦！
201,5,学习加油,虽然孩子也是初三，但是我觉得钉钉的制作者并没有错误，大家还是好好学习！
202,5,很好 工作顺利 家庭和谐 哈彼此彼此还,还爱吃菜吧
203,1,好评,五星分期好评
204,1,……,……
205,5,还好,挺全面的
206,1,一星好评奉上,n
207,1,恨你,对你恨不完
208,1,武汉加油💪,钉钉让我感到了前所未有的幸福和快乐！什么时候都能将大家联系在一起！真的太快了！谢谢！打卡的快乐大家值得拥有！
209,1,软件太棒了，让我在假期中都能与老师见面。,"这个软件这么棒，这些恶意刷差评的人，你们不学

我也不想学。"
210,5,有一说一软件是个好软件,如题
211,1,真感谢钉钉让我这个假期过得很充实，有生之年能碰到钉钉这样的好软件真是幸运👍好了，不说那么多了，一星好评！,钉钉真好用，一星好评
212,1,烦钉钉,可恶的钉钉上班按下班看提示声不断，加班无止境
213,1,太棒了，我爱钉钉^_^,"双份作业，可以看见老师迷人的笑容，我是如此的高兴，内心的那种感受无法描述，我太爱钉钉了
。"
214,5,钉钉校园资深用户前来点赞,钉钉自从进入教育领域以来真的一直在不断完善与教学管理相关的功能，我们学校是从19年初全面推进使用的，深受其利~这次线上直播教学其实也不是钉钉提出的呀…教育部有相关要求，钉钉刚好能够满足这个需求而已。不管是老师还是学生、家长都不乐意看直播上网课，但钉钉本身真的很出色~甚至被骂那么惨还依旧在针对在线课堂完善功能~
215,1,为什么会有这种软件存在,万万没想到美好假期败在了一个app手上
216,5,使用评价,虽然之前是挺讨厌钉钉的，很吵，但现在我又不用，所以当然要五星好评啦 つ😘つ
217,5,我毕业了 给个五星 学生们加油哦,舒服了
218,5,👍👍👍,讲道理挺好用的，我们钉不容易
219,5,五星差评,闲来无事来刷一波五星差评
220,1,你觉得呢,家长当然说好用
221,1,恶臭软件,万恶的资本家！马家app刷分真厉害👍
222,5,很好用,😄
223,5,音阶+小游戏,好极啦
224,1,我是用钉钉的中学生，心情极其复杂,确实和钉钉不共戴天，坑了我一假期啊！但是现在已经开学了，况且人家钉钉自己也发b站求饶了，那......我也不能给五星，对不起我一个假期，就三星吧，最大让步了...
225,1,感谢钉钉,我TM真谢谢你这为我那么贴心
226,1,谢谢你,人在家里坐，钉钉天上来，天天打卡，我打你🐴呢
227,4,不错的软件,我觉得软件本身还是不错的，就是上课的时候有些卡，经常没声音，希望后期可以优化一下
228,5,加油💪🏻,加油，你是最棒的！
229,5,善待钉钉,怎么说呢，被钉钉的求生欲感动了
230,1,五星好评,今天心情不好，5星好评，分期付款🙂
231,5,Ｂ站来的心疼哈哈哈哈哈哈,确实软件本身没有错，被迫上课的大家理智啊hhh（我们用QQ直播
232,5,刷下分,一星的只是开玩笑？我寻思还挺会开啊这玩笑，评分刷成这样让这个软件怎么办，工作人员怎么办？现在这么多人上网课哪个网课软件不卡。玩梗适度。
233,5,恶意的人，你们的良知哪儿去了,本来很好的一款软件，你们自己堕落麻木就算了，还要怪别人，真是幼稚可笑
234,1,五星好评,下次一定
235,5,支持,不错
236,1,吐了,那些说钉钉好用的你们就用吧，网上上课上死你们，还嘴硬说好用，好好听课哦，少说点违心话吧！
237,1,我来分期付款了,分期付款（滑稽
238,1,哈哈哈,这个软件很好，但赞嘛，要分期付款。
239,1,差评,我饿了，差评
240,1,非常差劲,非常差劲
241,1,真好用,真的贼好用，爱辽  爱辽！！！！
242,1,emmm听说一星好评会下架？？？,那就被迫营业了……
243,5,钉钉真的很不错 大家支持一下,"让我们假期变得充实 加油钉钉 五星一次付清
👴👌💩"
244,1,好的软件你值得拥有,加油吧，还是开学好吧
245,1,钉钉用后感,有了钉钉后，我又见到久违的老师和作业了，真是太开心（ě‘xīn）了！谢谢（tù’cáo）钉钉！
246,5,五星好评，一次付清,🌟🌟🌟🌟🌟
247,5,可怜的孩子,听说有人欺负你了、我来为你打抱不平
248,5,好,功能强大、各行业多
249,5,五星,钉钉真的很努力了
250,5,反击,高三学生五星反击
251,1,凸^-^凸,"不要问我为什么一星
因为没有零星"
252,1,听说app在1分时，可以强行下架，不知道真假,听说app在1分时，可以强行下架，不知道真假，我来试试
